date,municipality,state,highestsize,minsize,avgsize,violent_protest,curfew_protest,property_damage_protest,police_protest,url_source1,url_source2,countlove,wiki,ipsos
2020-05-28,Ypsilanti,Michigan,100,100,100,0,0,0,0,https://en.wikipedia.org/wiki/George_Floyd_protests_in_Michigan,https://www.mlive.com/news/ann-arbor/2020/05/day-of-rest-postpones-police-brutality-protest-in-ypsilanti-township-to-monday.html,1,1,0
2020-05-28,Boston,Massachusetts,20,100,60,1,0,0,1,https://en.wikipedia.org/wiki/George_Floyd_protests_in_Massachusetts,https://www.masslive.com/springfield/2020/05/george-floyds-death-in-minneapolis-prompts-hundreds-to-protest-police-brutality-outside-springfield-police-headquarters.html,1,1,0
2020-05-28,Framingham,Massachusetts,30,30,30,0,0,0,0,https://en.wikipedia.org/wiki/George_Floyd_protests_in_Massachusetts,https://www.metrowestdailynews.com/news/20200528/framingham-high-alums-hold-protest-over-george-floyds-death,1,1,0
2020-05-28,Louisville,Kentucky,500,500,500,1,0,1,1,https://en.wikipedia.org/wiki/George_Floyd_protests_in_Kentucky,https://www.courier-journal.com/story/news/2020/05/28/breonna-taylor-shooting-protesters-rally-downtown-louisville/5280279002/,1,1,1
2020-05-28,Chicago,Illinois,20,20,20,NA,NA,NA,NA,NA,https://www.chicagotribune.com/news/criminal-justice/ct-chicago-george-floyd-police-protest-20200528-feeoz7qiincjxnc3ixjxmqpjwe-story.html,1,0,0
2020-05-28,Windermere,Florida,10,10,10,NA,NA,NA,NA,NA,https://www.somerset-kentucky.com/news/minnesota-governor-acknowledges-abject-failure-in-protest-response/article_c3a40512-a1cf-11ea-b2f9-3b7725a3f3eb.html,1,0,0
2020-05-28,Denver,Colorado,1000,1000,1000,1,0,1,1,https://en.wikipedia.org/wiki/George_Floyd_protests_in_Colorado,https://the-journal.com/articles/177539,1,1,0
2020-05-28,FortCollins,Colorado,100,100,100,0,0,0,0,https://en.wikipedia.org/wiki/George_Floyd_protests_in_Colorado,https://www.coloradoan.com/story/news/2020/05/28/george-floyd-death-fort-collins-police-nationwide-protests-violence-brutality/5280671002/,1,1,0
2020-05-28,Fontana,California,100,100,100,NA,NA,NA,NA,NA,https://www.latimes.com/california/story/2020-05-29/fontana-protest-over-george-floyds-death-ends-in-9-arrests-police-say,1,0,0
2020-05-28,Hayward,California,50,50,50,NA,NA,NA,NA,NA,https://sanfrancisco.cbslocal.com/2020/05/28/demonstrators-protest-hayward-police-shooting-man-driveway/,1,0,0
2020-05-28,LosAngeles,California,100,100,100,NA,NA,NA,NA,NA,https://www.smdp.com/george-floyd-protesters-march-from-santa-monica-to-venice/192147,1,0,0
2020-05-28,Oakland,California,60,60,60,NA,NA,NA,NA,NA,https://abc7news.com/oakland-protest-george-floyd-black-lives-matter-minneapolis/6219682/,1,0,0
2020-05-28,SanJose,California,5,5,5,NA,NA,NA,NA,NA,https://www.nbcbayarea.com/news/local/demonstrations-in-bay-area-over-george-floyds-death/2298701/,1,0,0
2020-05-28,SantaMonica,California,NA,NA,NA,0,0,0,0,https://en.wikipedia.org/wiki/George_Floyd_protests_in_California,NA,0,1,0
