"","Date","Location","Attendees","Event (legacy; see tags)","Tags","Curated","Source","Total Articles","City","State Name","State Code","NAME","STNAME","SUMLEV","STATE","COUNTY","PLACE","COUSUB","CONCIT","PRIMGEO_FLAG","FUNCSTAT","CENSUS2010POP","ESTIMATESBASE2010","POPESTIMATE2010","POPESTIMATE2011","POPESTIMATE2012","POPESTIMATE2013","POPESTIMATE2014","POPESTIMATE2015","POPESTIMATE2016","POPESTIMATE2017","POPESTIMATE2018","POPESTIMATE2019"
"43",2020-05-28,"Fridley, MN",NA,"Racial Injustice","Civil Rights; For racial justice; For greater accountability; Police","Yes","http://www.twincities.com/2020/05/29/twin-cities-suburbs-report-overnight-damage-amid-protest-for-george-floyd/",1,"Fridley","Minnesota","MN","Fridley","Minnesota","162","27","000","22814","00000","00000",0,"A","27208",27222,27241,27256,27417,27429,27467,27503,27518,27778,27729,27826
"44",2020-05-28,"West St. Paul, MN",NA,"Racial Injustice","Civil Rights; For racial justice; For greater accountability; Police","Yes","http://www.twincities.com/2020/05/29/twin-cities-suburbs-report-overnight-damage-amid-protest-for-george-floyd/",1,"West St. Paul","Minnesota","MN","West St. Paul","Minnesota","162","27","000","69700","00000","00000",0,"A","19540",19541,19551,19597,19736,19774,19809,19739,19736,19761,19668,19961
"45",2020-05-28,"Fontana, CA",100,"Racial Injustice","Civil Rights; For racial justice; For greater accountability; Police","Yes","https://www.latimes.com/california/story/2020-05-29/fontana-protest-over-george-floyds-death-ends-in-9-arrests-police-say",12,"Fontana","California","CA","Fontana","California","162","06","000","24680","00000","00000",0,"A","196069",196458,197317,199880,201212,202670,203972,206163,208718,211122,213202,214547
"46",2020-05-28,"Oakland, CA",60,"Racial Injustice","Civil Rights; For racial justice; For greater accountability; Police","Yes","https://abc7news.com/oakland-protest-george-floyd-black-lives-matter-minneapolis/6219682/",6,"Oakland","California","CA","Oakland","California","162","06","000","53000","00000","00000",0,"A","390724",390765,391406,396086,401104,406648,412901,418211,420947,424382,429056,433031
"47",2020-05-28,"City Hall, San Jose, CA",5,"Racial Injustice","Civil Rights; For racial justice; For greater accountability; Police","Yes","https://www.nbcbayarea.com/news/local/demonstrations-in-bay-area-over-george-floyds-death/2298701/",1,"City Hall, San Jose","California","CA","San Jose","California","162","06","000","68000","00000","00000",0,"A","945942",952528,954940,970369,983530,1001279,1014273,1025980,1030242,1032335,1028020,1021795
"48",2020-05-28,"Hayward, CA",50,"Racial Injustice","Civil Rights; For racial justice; For greater accountability; Police","Yes","https://sanfrancisco.cbslocal.com/2020/05/28/demonstrators-protest-hayward-police-shooting-man-driveway/",1,"Hayward","California","CA","Hayward","California","162","06","000","33000","00000","00000",0,"A","144186",144427,144835,146935,149406,151753,154376,157999,159331,160324,159760,159203
"49",2020-05-28,"Windermere, FL",10,"Racial Injustice","Civil Rights; For racial justice; For greater accountability; Police","Yes","https://www.somerset-kentucky.com/news/minnesota-governor-acknowledges-abject-failure-in-protest-response/article_c3a40512-a1cf-11ea-b2f9-3b7725a3f3eb.html",2,"Windermere","Florida","FL","Windermere","Florida",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"50",2020-05-28,"Las Vegas, NV",100,"Racial Injustice","Civil Rights; For racial justice; For greater accountability; Police","Yes","https://www.ktnv.com/news/peaceful-demonstration-in-las-vegas-for-justice-after-george-floyds-death",2,"Las Vegas","Nevada","NV","Las Vegas","Nevada","162","32","000","40000","00000","00000",0,"A","583756",584489,584576,586606,593275,599551,607976,617487,626538,635262,643228,651319
"51",2020-05-28,"Portland, OR",NA,"Racial Injustice","Civil Rights; For racial justice; For greater accountability; Police","Yes","https://www.kptv.com/news/naacp-hosts-rally-in-downtown-portland-to-honor-victims-of-police-brutality/article_208d325c-a1e0-11ea-add0-2ff515c4131e.html",13,"Portland","Oregon","OR","Portland","Oregon","162","41","000","59000","00000","00000",0,"A","583776",583793,585429,595451,604264,609890,620510,631366,642720,647924,650837,654741
"52",2020-05-28,"Albuquerque, NM",400,"Racial Injustice","Civil Rights; For racial justice; For greater accountability; Police","Yes","https://www.abqjournal.com/1460985/local-leaders-defend-apd-response-to-protest-ex-mayor-we-stand-with-those-grieving-around-the-nation.html?utm_source=abqjournal.com&utm_medium=sidebar+-+popular+posts+-+home&utm_campaign=popular+posts",8,"Albuquerque","New Mexico","NM","Albuquerque","New Mexico","162","35","000","02000","00000","00000",0,"A","545852",546153,546755,552066,555002,557445,557444,557937,559192,559673,559629,560513
